Gene A Standard Name,Gene B Standard Name,Experiment,Interaction Type,Annotation Type,Gene A Interaction Role,Interaction Method,PubMed ID,Reference,Human Homolog A,Human Homolog B
SEC4,GDI1,"Tarassov K, et al. (2008)-18467557-PCA",physical,high-throughput,Hit,PCA,18467557,"Tarassov K, et al. (2008) An in vivo map of the yeast protein interactome. Science 320(5882):1465-70",51762,1122
ARF2,GGA2,"Boman AL, et al. (2002)-12221117-Two-hybrid",physical,manually curated,Bait,Two-hybrid,12221117,"Boman AL, et al. (2002) ADP-ribosylation factor (ARF) interaction is not sufficient for yeast GGA protein function or localization. Mol Biol Cell 13(9):3078-95",382,26088
HTA1,HTB1,Lee J and Lee TH (2017)-28128545-Reconstituted Complex,physical,manually curated,Bait,Reconstituted Complex,28128545,Lee J and Lee TH (2017) Single-Molecule Investigations on Histone H2A-H2B Dynamics in the Nucleosome. Biochemistry 56(7):977-985,83740,85236
CDC3,CDC11,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",5413,5414
RIM1,HTA1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",6742,8337
MDL1,MDL1,"van der Does C, et al. (2006)-16352609-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,16352609,"van der Does C, et al. (2006) Kinetics of the ATP hydrolysis cycle of the nucleotide-binding domain of Mdl1 studied by a novel site-specific labeling technique. J Biol Chem 281(9):5694-701",340273,5244
CLA4,CDC12,Versele M and Thorner J (2004)-14993234-Biochemical Activity,physical,manually curated,Bait,Biochemical Activity,14993234,"Versele M and Thorner J (2004) Septin collar formation in budding yeast requires GTP binding and direct phosphorylation by the PAK, Cla4. J Cell Biol 164(5):701-15",27347,151011
SSO2,SNC1,"Forsmark A, et al. (2011)-21477180-Co-fractionation",physical,manually curated,Hit,Co-fractionation,21477180,"Forsmark A, et al. (2011) Quantitative proteomics of yeast post-Golgi vesicles reveals a discriminating role for Sro7p in protein secretion. Traffic 12(6):740-53",55014,8674
MYO2,ACT1,"Dunn BD, et al. (2007)-17893244-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,17893244,"Dunn BD, et al. (2007) Myo4p is a monomeric myosin with motility uniquely adapted to transport mRNA. J Cell Biol 178(7):1193-206",4651,70
MPS3,DAL80,"Wong J, et al. (2007)-17634282-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,17634282,"Wong J, et al. (2007) A protein interaction map of the mitotic spindle. Mol Biol Cell 18(10):3800-9",6676,2627
