Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Entrez Gene ID
Q8BUV3	SWISS-PROT	MGI:109602	Gphn	gephyrin	protein coding gene	268566
P50571	SWISS-PROT	MGI:95619	Gabrb1	gamma-aminobutyric acid (GABA) A receptor, subunit beta 1	protein coding gene	14400
P63137	SWISS-PROT	MGI:95620	Gabrb2	gamma-aminobutyric acid (GABA) A receptor, subunit beta 2	protein coding gene	14401
P63080	SWISS-PROT	MGI:95621	Gabrb3	gamma-aminobutyric acid (GABA) A receptor, subunit beta 3	protein coding gene	14402
Q69ZK9	SWISS-PROT	MGI:2681835	Nlgn2	neuroligin 2	protein coding gene	216856
P26049	SWISS-PROT	MGI:95615	Gabra3	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3	protein coding gene	14396
Q3UTH8	SWISS-PROT	MGI:2442233	Arhgef9	CDC42 guanine nucleotide exchange factor (GEF) 9	protein coding gene	236915
Q3TES0	SWISS-PROT	MGI:2677208	Iqsec3	IQ motif and Sec7 domain 3	protein coding gene	243621
Q03173	SWISS-PROT	MGI:108360	Enah	ENAH actin regulator	protein coding gene	13800
P26048	SWISS-PROT	MGI:95614	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	protein coding gene	14395
P62812	SWISS-PROT	MGI:95613	Gabra1	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	protein coding gene	14394
Q9D2N4	SWISS-PROT	MGI:106039	Dtna	dystrobrevin alpha	protein coding gene	13527
Q8BHJ7	SWISS-PROT	MGI:95617	Gabra5	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 5	protein coding gene	110886
P70429	SWISS-PROT	MGI:1194884	Evl	Ena-vasodilator stimulated phosphoprotein	protein coding gene	14026
Q810B9	SWISS-PROT	MGI:2679447	Slitrk3	SLIT and NTRK-like family, member 3	protein coding gene	386750
P11531	SWISS-PROT	MGI:94909	Dmd	dystrophin, muscular dystrophy	protein coding gene	13405
Q61234	SWISS-PROT	MGI:101772	Snta1	syntrophin, acidic 1	protein coding gene	20648
P22723	SWISS-PROT	MGI:95623	Gabrg2	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 2	protein coding gene	14406
Q9R1R2	SWISS-PROT	MGI:1860040	Trim3	tripartite motif-containing 3	protein coding gene	55992
P97300	SWISS-PROT	MGI:108077	Nptn	neuroplastin	protein coding gene	20320
Q9EQJ9	SWISS-PROT	MGI:1923484	Magi3	membrane associated guanylate kinase, WW and PDZ domain containing 3	protein coding gene	99470
P63168	SWISS-PROT	MGI:1861457	Dynll1	dynein light chain LC8-type 1	protein coding gene	56455
P62962	SWISS-PROT	MGI:97549	Pfn1	profilin 1	protein coding gene	18643
Q9D0M5	SWISS-PROT	MGI:1915347	Dynll2	dynein light chain LC8-type 2	protein coding gene	68097
Q8CD60	SWISS-PROT	MGI:2442108	Insyn1	inhibitory synaptic factor 1	protein coding gene	319477
Q9WV31	SWISS-PROT	MGI:88067	Arc	activity regulated cytoskeletal-associated protein	protein coding gene	11838
Q4VC33	SWISS-PROT	MGI:1891748	Maea	macrophage erythroblast attacher	protein coding gene	59003
Q9CS72	SWISS-PROT	MGI:1917848	Filip1	filamin A interacting protein 1	protein coding gene	70598
Q3USH1	SWISS-PROT	MGI:3605068	Insyn2a	inhibitory synaptic factor 2A	protein coding gene	627214
Q9D6W8	SWISS-PROT	MGI:1919173	Borcs6	BLOC-1 related complex subunit 6	protein coding gene	71923
Q8BK63	SWISS-PROT	MGI:1934950	Csnk1a1	casein kinase 1, alpha 1	protein coding gene	93687
Q6NXJ0	SWISS-PROT	MGI:1261872	Wwc2	WW, C2 and coiled-coil domain containing 2	protein coding gene	52357
