Interactor_A_ID,Interactor_B_ID,Interactor_A_Name,Interactor_B_Name,Interactor_A_Alias,Interactor_B_Alias,Interaction_detection_methods,First_author,Publications,Interactor_A_Taxonomy,Interactor_B_Taxonomy,Interaction_type,Source_database,Interaction_identifier,Confidence_score,EntrezA,EntrezB,HIDA,HIDB,osEntrezA,osEntrezB,Methods
P30822,P33330,XPO1_YEAST(gene name),SERC_YEAST(gene name),-,-,psi-mi:MI:0398,-,pubmed:11283351,4932,4932,psi-mi:MI:0915,dip,DIP-9362E,0.437863563224893,853133,854356,2554,6973,103573,107272,two hybrid pooling approach
P38074,P39925,HMT1_YEAST(gene name),AFG3_YEAST(gene name),-,-,psi-mi:MI:0398,-,pubmed:11283351,4932,4932,psi-mi:MI:0915,dip,DIP-8672E,0.238369817720281,852322,856737,21477,4947,15469,69597,two hybrid pooling approach
P54216,P54216,ALF1_CAEEL(gene name),ALF1_CAEEL(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0397|psi-mi:MI:0398,-,pubmed:14704431|pubmed:19123269,6239,6239,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-341120,0.799893742943399,176788,176788,21073,21073,11676,11676,two hybrid | two hybrid array | two hybrid pooling approach
Q18938,Q18938,MAAI_CAEEL(gene name),MAAI_CAEEL(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0397|psi-mi:MI:0398,-,pubmed:14704431|pubmed:19123269,6239,6239,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-335393,0.799893742943399,183911,183911,7747,7747,14874,14874,two hybrid | two hybrid array | two hybrid pooling approach
G5EDY8,G5EDY8,G5EDY8_CAEEL(gene name),G5EDY8_CAEEL(gene name),-,-,psi-mi:MI:0018,-,pubmed:12445390|pubmed:14704431,6239,6239,psi-mi:MI:0407,biogrid,66537,0.753863382848643,177336,177336,6384,6384,74006,74006,two hybrid
P0DM42,P0DM42,ACT3_CAEEL(gene name),ACT3_CAEEL(gene name),-,-,psi-mi:MI:0018,-,pubmed:14704431|pubmed:18692475,6239,6239,psi-mi:MI:0407,biogrid,820428,0.753863382848643,179533,179533,74402,74402,11465,11465,two hybrid
Q22799,Q22799,DYL1_CAEEL(gene name),DYL1_CAEEL(gene name),-,-,psi-mi:MI:0018,-,pubmed:18692475|pubmed:unassigned701,6239,6239,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-6456977,0.743424508608641,175922,175922,115597,115597,68097,68097,two hybrid
Q20471,Q20471,KIN20_CAEEL(gene name),KIN20_CAEEL(gene name),-,-,psi-mi:MI:0018|psi-mi:MI:0398,-,pubmed:14704431|pubmed:11778048,6239,6239,psi-mi:MI:0407|psi-mi:MI:0915,mint,20096,0.743424508608641,181620,181620,74841,74841,104318,104318,two hybrid | two hybrid pooling approach
P10984,P10984,ACT2_CAEEL(gene name),ACT2_CAEEL(gene name),-,-,psi-mi:MI:0018,-,pubmed:18692475|pubmed:unassigned701,6239,6239,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-6459129,0.743424508608641,179534,179534,74402,74402,11465,11465,two hybrid
P10984,P10986,ACT2_CAEEL(gene name),ACT4_CAEEL(gene name),-,-,psi-mi:MI:0018,-,pubmed:18692475|pubmed:unassigned701,6239,6239,psi-mi:MI:0407|psi-mi:MI:0915,intact,EBI-6459119,0.743424508608641,179534,180767,74402,74402,11465,11465,two hybrid
