node,symbol
103573,Xpo1
15469,Prmt1
11676,Aldoc
14874,Gstz1
74006,Dnm1l
11465,Actg1
68097,Dynll2
104318,Csnk1d
20430,Cyfip1
13176,Dcc
94090,Trim9
71902,Cand1
26554,Cul3
71745,Cul2
13427,Dync1i2
22631,Ywhaz
224705,Vps52
26965,Cul1
16569,Kif3b
50884,Nckap1
77579,Myh10
18128,Notch1
19182,Psmc3
108124,Napa
56433,Vps29
11764,Ap1b1
27373,Csnk1e
18749,Prkacb
11773,Ap2m1
18673,Phb
11772,Ap2a2
110611,Hdlbp
20907,Stx1a
23964,Tenm2
22284,Usp9x
19046,Ppp1cb
23965,Tenm3
19342,Rab4b
13544,Dvl3
56443,Arpc1a
18750,Prkca
17920,Myo6
19324,Rab1a
12282,Hyou1
20014,Rpn2
170731,Mfn2
19155,Npepps
319504,Nrcam
13405,Dmd
74205,Acsl3
226432,Ipo9
12330,Canx
67160,Eef1g
260299,Cadm4
55992,Trim3
12032,Bcan
56839,Lgi1
94332,Cadm3
18412,Sqstm1
230908,Tardbp
83814,Nedd4l
69807,Trim32
65114,Vps35
67151,Psmd9
271457,Rab5a
56491,Vapb
13194,Ddb1
72993,Appl1
18570,Pdcd6
14679,Gnai3
22628,Ywhag
232910,Ap2s1
11771,Ap2a1
22042,Tfrc
14580,Gfap
18472,Pafah1b1
110355,Grk2
54401,Ywhab
22201,Uba1
16500,Kcnb1
22629,Ywhah
22321,Vars
11789,Apc
18039,Nefl
13885,Esd
18641,Pfkl
56455,Dynll1
58998,Nectin3
18747,Prkaca
14828,Hspa5
93687,Csnk1a1
22333,Vdac1
239217,Kctd12
18189,Nrxn1
14402,Gabrb3
27364,Srr
382253,Cdkl5
59069,Tpm3
13542,Dvl1
67916,Plpp3
14694,Rack1
19339,Rab3a
14678,Gnai2
245684,Cnksr2
192662,Arhgdia
268890,Lsamp
235106,Ntm
103967,Dnm3
11658,Alcam
52357,Wwc2
109689,Arrb1
14687,Gnaz
27054,Sec23b
13682,Eif4a2
67839,Gpsm1
14026,Evl
66713,Actr2
