osEntrezA,osEntrezB
103573,107272
15469,69597
11676,11676
14874,14874
74006,74006
11465,11465
68097,68097
104318,104318
11465,11465
11465,11465
20430,50884
13176,94090
14874,14874
94090,94090
11465,11465
11465,11465
71902,71745
26554,26554
74006,74006
71745,227693
13427,68097
22631,13175
224705,224705
15469,15469
26965,227693
68097,13427
16569,16568
50884,76884
22631,22631
77579,77579
18128,18128
19182,67151
18128,13544
68097,68097
26554,71902
26965,71902
108124,20907
56433,65114
26554,26554
103573,226432
11764,232910
27373,93687
18749,18749
11773,11772
11773,11764
11773,232910
18673,12034
11772,11764
11772,232910
110611,110611
26965,26965
20907,20907
23964,23965
22284,13854
18128,69597
19046,26554
22631,20907
23964,83814
103573,71902
23965,23965
19342,224705
23964,23964
13544,16568
56443,66713
18750,13544
18128,83814
17920,59003
19324,106529
12282,12330
19046,26554
19046,77579
20014,12330
11772,13854
170731,59040
18128,59007
20014,106529
19155,19182
11465,50884
23964,224617
23964,103573
23964,13427
26554,13405
23964,22284
23964,13405
23964,26422
18128,245537
18128,320191
319504,14810
23964,18750
23964,13682
18128,27407
13405,53413
74205,12330
71902,106529
20014,71902
20014,226432
19342,106529
226432,71902
226432,106529
12330,116733
13405,53413
23964,226432
18128,18673
18750,77579
67160,102058
68097,72042
27373,11764
18128,68349
319504,227693
23964,93747
23964,215821
319504,65114
260299,239857
260299,94332
55992,55992
12032,12032
56839,56839
94332,94332
94332,239857
26965,71902
18412,18412
230908,230908
83814,83814
22631,22631
69807,69807
65114,56433
26554,26554
15469,15469
26554,71902
67151,19182
271457,72993
71745,71902
56491,30960
13194,98193
19182,19182
11465,11465
11764,11773
20430,50884
72993,72993
74006,74006
18570,18570
14679,67839
16569,16568
11772,11773
22628,22628
232910,11773
11771,11773
22042,22042
26554,211255
26965,26965
14580,14580
94090,94090
14874,14874
13405,13527
18472,18472
17920,17920
110355,14682
20907,20907
54401,22629
22628,22631
22201,73318
18750,18750
16500,16500
22629,22629
54401,22631
22631,22629
22321,67160
11789,11789
18039,14580
13885,13885
54401,22628
18641,18641
56455,56455
58998,58998
18747,18749
104318,27373
14828,12282
56455,68097
93687,27373
22333,22335
239217,239217
18189,192167
14402,14402
54401,54401
22628,22629
27364,27364
12330,12330
382253,382253
27373,27373
55992,55992
67160,67160
59069,59069
13542,13544
18673,12034
67916,67916
14694,14694
13176,94090
19339,19338
14678,14679
170731,170731
20430,83767
26965,13194
245684,242274
104318,94090
54401,13823
11773,11773
22333,22333
192662,192662
22628,13823
18747,606496
268890,235106
268890,268890
235106,235106
103967,103967
11658,11658
52357,211652
109689,109689
13405,20648
19324,233204
14687,14687
27054,27054
13682,13682
67839,67839
14026,14026
22628,67809
66713,56443
11789,27373
66713,19046
66713,17920
93687,104318
14828,15505
12343,11465
12343,66713
18415,14828
50790,74205
19342,68365
19046,11465
13542,13542
68349,227197
27373,13544
54401,67809
56491,381110
242864,242864
17850,17850
56455,268566
232333,20907
54401,50884
66713,66713
271457,271457
67809,30960
109658,20907
20648,13527
116733,116733
99470,319504
12589,67694
14678,101489
14679,101489
606496,22628
53328,12330
13542,27373
12805,12805
67863,67863
73318,73318
20512,20512
77579,77579
606496,606496
93687,93687
18752,606496
15502,15502
18750,606496
11465,72042
26556,26556
13544,13544
72993,216344
22201,22201
104318,19324
18189,216856
18189,245537
18190,192167
18190,216856
104318,13544
22631,11496
14682,101489
14828,216440
83767,50884
20334,27054
104318,241656
14828,18412
109658,224705
66075,68653
94090,14026
18749,56455
22629,13823
11771,17920
76614,66075
19349,19344
271457,19349
19344,66687
14104,14104
19349,19342
19344,233204
271457,66687
224129,224129
268566,268566
52357,52357
16728,16728
93747,93747
16490,16490
271457,233204
320191,320191
20907,17957
19342,223666
76376,76376
65114,65114
13194,13194
211255,211255
66687,233204
26554,13194
24108,22201
18128,12805
19349,19349
11772,232910
18752,18750
14396,14658
13800,14026
192167,245537
110886,14396
56839,11496
11771,232910
19046,21872
14406,14405
12298,12297
12297,12295
399558,399558
13176,13176
56491,56491
18128,18128
107831,107831
14828,14828
93687,11465
14402,14401
16490,16485
232910,11764
241656,241656
216856,245537
26965,26554
55992,27373
12759,12759
93687,18412
22631,13823
59069,22333
18128,16211
103573,22631
211446,53413
18749,30960
54401,69807
102058,53413
56491,13726
56455,14694
71745,227693
21872,211255
103573,98193
231086,18412
20014,12330
12330,30960
