osEntrezA,osEntrezB
56720,56720
22099,22099
18035,18035
329416,329416
71679,69241
12048,12048
56720,56720
353190,353190
17210,17210
22099,22099
18053,18053
56812,15525
18035,18035
72462,72462
67684,67684
26445,26445
12048,17210
68581,68581
14043,14043
56294,56294
245474,245474
67511,67511
23942,66813
67684,72462
15525,17210
68581,67511
100009614,100009614
26445,234374
69241,245841
245841,245841
18035,15525
15525,67059
80889,80889
12345,12048
12048,66813
27354,15525
245474,72462
66665,13006
23942,23942
66665,66665
18053,18053
