Yeast Gene,Entrez,Source
1-Oct,4285,Ensembl;HomoloGene;Panther;TreeFam
AAC1,83447;291;292;293,Ensembl;TreeFam;Panther
AAC3,83447;291;292;293,Ensembl;TreeFam;Panther
AAD10,8574;22977;246181;7881;8514;9196,TreeFam;Panther
AAD14,8574;22977;246181;7881;8514;9196,TreeFam;Panther
AAD15,7881;8514;9196,Panther
AAD16,7881;8514;9196,Panther
AAD3,8574;22977;246181;7881;8514;9196,TreeFam;Panther
AAD4,8574;22977;246181;7881;8514;9196,TreeFam;Panther
AAD6,8574;22977;246181;7881;8514;9196,TreeFam;Panther
AAH1,100,Ensembl;HomoloGene
AAP1,290;2028;51752;64167;4012;206338;9520;29953,Ensembl;Panther;TreeFam
AAT1,2806,Panther;TreeFam
AAT2,2805;2806,Ensembl;HomoloGene;Panther;TreeFam
ABD1,8731,Ensembl;Panther;TreeFam
ABP1,2017;1627;28988;3059;4703;10529,Panther;TreeFam
ABP140,55798;79828,Ensembl;Panther;TreeFam
ACA1,1386;11016;3725;3726;3727,Panther;TreeFam
ACB1,1622,Ensembl;HomoloGene;Panther
ACC1,31;32,HomoloGene;Panther;TreeFam
ACE2,10661;11278;28999;128209;10365;51274;9314;688;1316;8609;11279,Ensembl
ACK1,9812,Panther
ACO1,50,HomoloGene;Panther;TreeFam
ACO2,48;50;3658,Ensembl
ACP1,4706,Ensembl;Panther;TreeFam
ACS1,65985;116285;123876;348158;6296;341392;54988;84532;55902;79611,Panther;Ensembl;TreeFam
ACS2,65985;116285;123876;348158;6296;341392;54988;84532;55902;79611,Panther;Ensembl;HomoloGene;TreeFam
ACT1,58;59;60;345651;70;71;72;10121;10120;139741;140625;84517;445582;440915,Ensembl;Panther;TreeFam;HomoloGene
ADA2,6871;93624,Ensembl;HomoloGene;Panther;TreeFam
ADD66,56984,Panther
ADE1,10606,Panther
ADE12,159;122622,Ensembl;Panther;TreeFam;HomoloGene
ADE13,158;2271,Ensembl;HomoloGene;Panther;TreeFam
ADE16,471,Ensembl;Panther;TreeFam
ADE17,471,Ensembl;HomoloGene;Panther;TreeFam
ADE2,10606,Panther
ADE3,4522;25902;10797;441024,Ensembl;HomoloGene;Panther;TreeFam
ADE4,5471,Ensembl;Panther
"ADE5,7",2618,Ensembl;HomoloGene;Panther;TreeFam
ADE6,5198,Ensembl;Panther;TreeFam
ADH1,6652;9540,Panther
ADH2,6652;9540,Panther
ADH3,6652;9540,Panther
ADH4,137872,Ensembl;Panther;TreeFam
ADH5,6652;9540,Panther
ADH6,6652;9540,Panther
ADH7,6652;9540,Panther
ADI1,55256,Ensembl;Panther
ADK1,204,Ensembl;HomoloGene;Panther;TreeFam
ADK2,50808;205;158067,Ensembl;HomoloGene;Panther;TreeFam
ADO1,132,Ensembl;Panther;TreeFam
ADP1,9619;9429;64137;64240;64241,Ensembl;Panther;HomoloGene
AFG2,166378,Ensembl;Panther;TreeFam
AFG3,10939;6687,Ensembl;HomoloGene;Panther;TreeFam
AFR1,221692;9749;116154;65979,Panther
AGC1,8604;10165;83733;79751;9673,Ensembl;Panther;TreeFam
AGE1,9744;23527;116987;116986;116985;116984;64411;50807;8853;55616,Ensembl;Panther
AGE2,11033;55803;116987;116986;116985;116984;28964;9815;60682,Ensembl;Panther;TreeFam
AGP1,56301;23657;8140;9057;9056;23428;11136,Panther
AGP2,56301;23657;8140;9057;9056;23428;11136,Panther
AGP3,56301;23657;8140;9057;9056;23428;11136,Panther
AGX1,189;29968,Ensembl;HomoloGene;TreeFam;Panther
